UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,municipio_limpo,uf_limpa,chave_merge,DIESEL,FLEX
PR,IGUARACU,3877,1996,0,155,81,411,110,0,2,23,609,166,21,0,90,135,0,18,0,1,4,55,IGUARACU,PR,IGUARACU_PR,463.0,1405.0
PR,IGUATU,1532,668,0,56,4,183,35,0,0,7,489,59,10,0,7,4,0,4,0,0,1,5,IGUATU,PR,IGUATU_PR,142.0,601.0
PR,IMBAU,8351,4407,0,306,125,910,213,0,12,31,1658,332,49,0,134,102,0,12,0,1,7,52,IMBAU,PR,IMBAU_PR,871.0,3117.0
PR,IMBITUVA,24653,13646,0,1121,321,2624,678,0,13,54,3730,940,117,0,566,433,2,95,0,2,3,308,IMBITUVA,PR,IMBITUVA_PR,2772.0,8822.0
PR,INACIO MARTINS,5274,2696,0,388,61,693,207,0,4,54,865,31,68,0,89,81,0,12,0,0,0,25,INACIO MARTINS,PR,INACIO MARTINS_PR,835.0,1753.0
PR,INAJA,1830,1013,0,30,5,165,59,0,1,8,344,124,19,0,44,5,0,4,0,0,0,9,INAJA,PR,INAJA_PR,133.0,605.0
PR,INDIANOPOLIS,3729,1846,0,107,145,412,47,0,3,4,641,324,15,0,81,84,0,12,0,0,0,8,INDIANOPOLIS,PR,INDIANOPOLIS_PR,378.0,1371.0
PR,IPIRANGA,10682,5494,0,467,142,1529,270,0,1,53,1893,108,117,0,316,171,3,29,0,5,2,82,IPIRANGA,PR,IPIRANGA_PR,1585.0,3496.0
PR,IPORA,13713,6163,0,515,223,1249,298,0,13,24,2941,1468,60,0,315,272,1,51,0,3,6,111,IPORA,PR,IPORA_PR,1409.0,4793.0
PR,IRACEMA DO OESTE,1935,934,0,108,15,290,32,0,0,7,373,89,10,0,39,21,0,3,0,0,0,14,IRACEMA DO OESTE,PR,IRACEMA DO OESTE_PR,299.0,700.0
PR,IRATI,49238,27701,0,2010,627,5362,1890,0,23,150,7206,1289,233,0,1126,808,1,163,0,11,7,631,IRATI,PR,IRATI_PR,5319.0,19918.0
PR,IRETAMA,7107,3627,0,278,33,803,171,0,1,7,1774,171,64,0,75,48,0,12,0,0,5,38,IRETAMA,PR,IRETAMA_PR,765.0,2401.0
PR,ITAGUAJE,3497,1962,0,79,43,283,101,0,2,12,572,193,35,0,119,60,0,15,0,0,2,19,ITAGUAJE,PR,ITAGUAJE_PR,293.0,1069.0
PR,ITAIPULANDIA,8861,4429,0,338,86,891,352,0,2,48,1469,707,81,0,224,102,0,19,0,0,2,111,ITAIPULANDIA,PR,ITAIPULANDIA_PR,1027.0,3189.0
PR,ITAMBARACA,4510,2362,0,221,42,475,125,0,5,36,830,188,43,0,72,61,5,16,0,1,1,27,ITAMBARACA,PR,ITAMBARACA_PR,560.0,1531.0
PR,ITAMBE,5044,2270,0,219,115,511,121,0,11,8,1022,362,34,0,99,193,0,13,0,2,1,63,ITAMBE,PR,ITAMBE_PR,682.0,1690.0
PR,ITAPEJARA D'OESTE,10040,5220,0,543,176,1349,273,0,3,19,1255,476,76,0,198,287,0,36,0,1,1,127,ITAPEJARA D'OESTE,PR,ITAPEJARA D'OESTE_PR,1384.0,3644.0
PR,ITAPERUCU,19266,10865,0,867,221,2158,698,0,4,123,3064,361,155,0,246,304,0,41,0,2,2,155,ITAPERUCU,PR,ITAPERUCU_PR,2262.0,8629.0
PR,ITAUNA DO SUL,2460,1241,0,60,8,156,43,0,3,10,636,169,15,0,84,13,0,6,0,0,1,15,ITAUNA DO SUL,PR,ITAUNA DO SUL_PR,153.0,825.0
PR,IVAI,10760,4997,0,574,80,1589,313,0,2,25,2651,91,71,0,107,105,3,17,0,1,2,132,IVAI,PR,IVAI_PR,1613.0,3758.0
PR,IVAIPORA,29382,14982,0,1245,258,3389,895,0,27,55,4955,2022,173,0,467,468,3,125,0,4,15,299,IVAIPORA,PR,IVAIPORA_PR,3469.0,10554.0
PR,IVATE,5681,2518,0,233,117,459,115,0,8,22,1069,460,92,0,332,210,1,7,0,0,1,37,IVATE,PR,IVATE_PR,682.0,1882.0
PR,IVATUBA,1861,993,0,62,23,214,56,0,3,8,292,95,9,0,46,35,0,4,0,0,0,21,IVATUBA,PR,IVATUBA_PR,208.0,749.0
PR,JABOTI,3130,1499,0,72,12,431,83,0,2,7,831,77,20,0,56,16,0,8,0,0,0,16,JABOTI,PR,JABOTI_PR,245.0,1329.0
PR,JACAREZINHO,30218,15658,0,660,390,2270,1041,0,31,161,6477,1687,180,0,768,435,1,134,0,2,8,315,JACAREZINHO,PR,JACAREZINHO_PR,2339.0,12674.0
PR,JAGUAPITA,10806,5384,0,401,132,1190,337,0,37,54,1758,877,110,0,222,193,1,38,0,0,8,64,JAGUAPITA,PR,JAGUAPITA_PR,1190.0,4275.0
